index	label	name	hemisphere	region_abbrev	lobe	cortex_type	x_cog	y_cog	z_cog	volume_mm3
246	7Pl_R	Lateral_Area_7P_R	R	7Pl	Par	Superior_Parietal	78.082592	52.547649	129.927573	787
247	7PC_R	Area_7PC_R	R	7PC	Par	Superior_Parietal	54.30504	78.639699	133.54244	2262
248	LIPv_R	Area_Lateral_IntraParietal_ventral_R	R	LIPv	Par	Superior_Parietal	62.004614	69.61707	125.258362	867
249	VIP_R	Ventral_IntraParietal_Complex_R	R	VIP	Par	Superior_Parietal	68.916533	63.23114	135.889246	623
250	MIP_R	Medial_IntraParietal_Area_R	R	MIP	Par	Superior_Parietal	63.267232	58.20226	123.986441	1770
251	1_R	Area_1_R	R	1	Par	Somatosensory_and_Motor	41.860496	104.311709	125.768987	3792
252	2_R	Area_2_R	R	2	Par	Somatosensory_and_Motor	52.428189	95.303667	122.502292	2618
253	3a_R	Area_3a_R	R	3a	Fr	Somatosensory_and_Motor	58.537415	105.608844	118.408163	1176
254	6d_R	Dorsal_area_6_R	R	6d	Fr	Premotor	53.27913	114.122216	136.10668	1931
255	6mp_R	Area_6mp_R	R	6mp	Fr	Paracentral_Lobular_and_Mid_Cingulate	75.523118	112.953763	140.165054	1860
256	6v_R	Ventral_Area_6_R	R	6v	Fr	Premotor	32.423866	132.818138	103.072554	2095
257	p24pr_R	Area_Posterior_24_prime_R	R	p24pr	Fr	Anterior_Cingulate_and_Medial_Prefrontal	85.71482	122.438623	112.543413	1336
258	33pr_R	Area_33_prime_R	R	33pr	Fr	Anterior_Cingulate_and_Medial_Prefrontal	87.197935	136.562823	100.375215	581
259	a24pr_R	Anterior_24_prime_R	R	a24pr	Fr	Anterior_Cingulate_and_Medial_Prefrontal	85.926439	145.473348	103.304904	938
260	p32pr_R	Area_p32_prime_R	R	p32pr	Fr	Anterior_Cingulate_and_Medial_Prefrontal	82.475465	140.625212	112.576142	1182
261	a24_R	Area_a24_R	R	a24	Fr	Anterior_Cingulate_and_Medial_Prefrontal	85.878669	164.201566	70.600783	1533
262	d32_R	Area_dorsal_32_R	R	d32	Fr	Anterior_Cingulate_and_Medial_Prefrontal	83.510986	164.846197	98.791549	1775
263	8BM_R	Area_8BM_R	R	8BM	Fr	Anterior_Cingulate_and_Medial_Prefrontal	85.561807	157.006339	117.958003	2524
264	p32_R	Area_p32_R	R	p32	Fr	Anterior_Cingulate_and_Medial_Prefrontal	82.359393	174.618436	69.042007	857
265	10r_R	Area_10r_R	R	10r	Fr	Anterior_Cingulate_and_Medial_Prefrontal	85.146262	172.751896	60.15493	923
266	47m_R	Area_47m_R	R	47m	Fr	Orbital_and_Polar_Frontal	57.754386	157.371517	53.686275	969
267	8Av_R	Area_8Av_R	R	8Av	Fr	Dorsolateral_Prefrontal	51.352616	145.949195	120.685614	3976
268	8Ad_R	Area_8Ad_R	R	8Ad	Fr	Dorsolateral_Prefrontal	67.233301	158.5722	113.623772	2036
269	9m_R	Area_9_Middle_R	R	9m	Fr	Anterior_Cingulate_and_Medial_Prefrontal	83.868691	181.249145	91.301967	4676
270	8BL_R	Area_8B_Lateral_R	R	8BL	Fr	Dorsolateral_Prefrontal	78.91626	168.845999	120.171207	3487
271	9p_R	Area_9_Posterior_R	R	9p	Fr	Dorsolateral_Prefrontal	71.348837	176.911205	105.233263	1419
272	10d_R	Area_10d_R	R	10d	Fr	Orbital_and_Polar_Frontal	81.086781	193.730216	74.665468	2224
273	8C_R	Area_8C_R	R	8C	Fr	Dorsolateral_Prefrontal	50.37308	145.14594	108.576811	2734
274	44_R	Area_44_R	R	44	Fr	Inferior_Frontal	37.055203	145.308467	85.935472	2681
275	45_R	Area_45_R	R	45	Fr	Inferior_Frontal	39.515005	153.265247	72.484511	2066
276	47l_R	Area_47l_(47_lateral)_R	R	47l	Fr	Inferior_Frontal	46.146087	158.131594	56.831304	1725
277	a47r_R	Area_anterior_47r_R	R	a47r	Fr	Inferior_Frontal	52.625557	178.539747	62.249629	2692
278	6r_R	Rostral_Area_6_R	R	6r	Fr	Premotor	39.694803	135.156311	86.720594	2559
279	IFJa_R	Area_IFJa_R	R	IFJa	Fr	Inferior_Frontal	50.829828	143.133843	95.51434	523
280	IFJp_R	Area_IFJp_R	R	IFJp	Fr	Inferior_Frontal	54.052897	133.420655	99.677582	397
281	IFSp_R	Area_IFSp_R	R	IFSp	Fr	Inferior_Frontal	44.515479	155.734341	89.435565	1389
282	IFSa_R	Area_IFSa_R	R	IFSa	Fr	Inferior_Frontal	42.045036	164.740532	73.742068	1954
283	p9-46v_R	Area_posterior_9-46v_R	R	p9-46v	Fr	Dorsolateral_Prefrontal	43.648143	159.269405	97.278164	3311
284	46_R	Area_46_R	R	46	Fr	Dorsolateral_Prefrontal	54.973373	167.290598	102.286325	3042
285	a9-46v_R	Area_anterior_9-46v_R	R	a9-46v	Fr	Dorsolateral_Prefrontal	50.407407	178.769841	79.984127	1890
286	9-46d_R	Area_9-46d_R	R	9-46d	Fr	Dorsolateral_Prefrontal	61.307805	176.773458	93.881321	3421
287	9a_R	Area_9_anterior_R	R	9a	Fr	Dorsolateral_Prefrontal	70.836969	188.89409	90.121777	2521
288	10v_R	Area_10v_R	R	10v	Fr	Anterior_Cingulate_and_Medial_Prefrontal	87.511155	176.704016	52.646009	2017
289	a10p_R	Area_anterior_10p_R	R	a10p	Fr	Orbital_and_Polar_Frontal	66.79639	188.730686	61.363177	1385
290	10pp_R	Polar_10p_R	R	10pp	Fr	Orbital_and_Polar_Frontal	79.325648	188.469741	53.417291	1735
291	11l_R	Area_11l_R	R	11l	Fr	Orbital_and_Polar_Frontal	65.791587	172.746973	54.321224	3138
292	13l_R	Area_13l_R	R	13l	Fr	Orbital_and_Polar_Frontal	70.701739	152.646957	50.322609	1150
293	OFC_R	Orbital_Frontal_Complex_R	R	OFC	Fr	Orbital_and_Polar_Frontal	83.615202	158.638955	45.933017	2105
294	47s_R	Area_47s_R	R	47s	Fr	Orbital_and_Polar_Frontal	60.445039	146.166964	51.135472	1683
295	LIPd_R	Area_Lateral_IntraParietal_dorsal_R	R	LIPd	Par	Superior_Parietal	60.154362	70.736018	115.630872	447
296	6a_R	Area_6_anterior_R	R	6a	Fr	Premotor	64.183119	124.292844	124.65945	2725
297	i6-8_R	Inferior_6-8_Transitional_Area_R	R	i6-8	Fr	Dorsolateral_Prefrontal	58.342047	134.887653	128.925473	1798
298	s6-8_R	Superior_6-8_Transitional_Area_R	R	s6-8	Fr	Dorsolateral_Prefrontal	70.548089	149.926634	130.08693	1622
299	43_R	Area_43_R	R	43	Fr	Posterior_Opercular	34.231572	127.220516	81.591523	1628
300	OP4_R	Area_OP4-PV_R	R	OP4	Par	Posterior_Opercular	31.065974	115.43372	85.110568	1637
301	OP1_R	Area_OP1-SII_R	R	OP1	Par	Posterior_Opercular	45.814286	107.14898	89.419388	980
302	OP2-3_R	Area_OP2-3-VS_R	R	OP2-3	Par	Posterior_Opercular	51.053528	111.892944	90.335766	411
303	52_R	Area_52_R	R	52	Ins	Early_Auditory	52.031915	105.12766	73.634752	282
